LA CATEDRAL	22	22
LA CASTELLANA	23	23
LA CASTAÑA	2	2
LA CAROLINA	1	1
LA CAPUCHINA	20	20
LA CANDELARIA	17	17
LA CAMPIÑA	1	1
LA CALLEJA	10	10
LA CABRERA	16	16
LA CABAÑA Y LA SUERTE	1	1
LA CABAÑA	8	8
LA BELLEZA	2	2
LA AZUCENA A	4	4
LA AURORA II SECTOR	3	3
LA AURORA I SECTOR	9	9
LA AURORA	5	5
LA ANDREA	2	2
LA AMISTAD BOSA	3	3
LA AMISTAD	3	3
LA ALMERÍA	1	1
LA ALDEA	5	5
LA ALAMEDA DEL SUR	1	1
LA ALAMEDA	19	19
LA AGUADITA	2	2
LA ACACIA	3	3
KASANDRA	2	2
JULIO FLOREZ	1	1
JUAN XXIII	3	3
JUAN REY	6	6
JUAN PABLO II	9	9
JOSÉ JOAQUÍN VARGAS	2	2
JOSE JOAQUIN VARGAS	8	8
JOSE ANTONIO GALAN	3	3
JORGE GAITAN CORTES	2	2
JORDAN	1	1
JERUSALÉN	6	6
JERICO	1	1
JAZMÍN OCCIDENTAL	1	1
JAVA II SECTOR	1	1
JARDÍN DE SAN JORGE	1	1
JAKELIN	3	3
JACQUELINE	1	1
JABOQUE	2	2
ISRAELITAS	1	1
ISLANDIA	2	2
ISLA DEL SOL	7	7
ISABELA I	1	1
INTERINDUSTRIAL	2	2
INGLES	5	5
ILARCO	1	1
IBERIA	5	5
HORIZONTES	1	1
HOLANDA	2	2
HIPOTECHO OCCIDENTAL	27	27
HACIENDA SANTA BARBARA I SECTOR	3	3
HACIENDA SANTA BÁRBARA	1	1
GUSTAVO RESTREPO	32	32
GUAVIO	1	1
GUATIQUIA URBANIZACIÓN	1	1
GUADUAL FONTIBÓN	1	1
GUADUAL	1	1
GUACAMAYAS I-II	13	13
GRATAMIRA	2	2
GRANJAS EL DORADO	1	1
GRANJAS DE TECHO	2	2
GRANADA SUR III SECTOR	1	1
GRANADA SUR	6	6
GRANADA NORTE	8	8
GRANADA	10	10
GRAN YOMASA	11	11
GRAN GRANADA	1	1
GRAN GRADANA I Y II	1	1
GRAN COLOMBIANO	13	13
GRAN BRITALIA	50	50
GRAN AMERICA	12	12
GOVAROBA II	1	1
GORGONZOLA	8	8
GONZALO JIMENEZ	3	3
GLORIA LARA DE ECHEVERRY II ETAPA	2	2
GIRARDOT	4	4
GIRALDILLA II	1	1
GILMAR	4	4
GIBRALTAR	1	1
GETSEMANI	1	1
GERMANIA	7	7
GARCES NAVAS	5	5
GALERIAS	42	42
GALAN	33	33
GAITAN	12	12
FRANCO	2	2
